,sr,nsecode,name,bsecode,per_chg,close,volume
0,1,SHREECEM,Shree Cements Limited,500387,-1.35,25939.7,50277
1,2,BAJAJ-AUTO,Bajaj Auto Limited,532977,-1.65,5001.05,498375
2,3,OFSS,Oracle Financial Services Software Limited,532466,-1.39,4195.3,32518
3,4,TITAN,Titan Company Limited,500114,-0.91,3274.5,1019051
4,5,TIINDIA,Tube Investments of India Ltd,540762,-2.55,3200.3,115025
5,6,LT,Larsen & Toubro Limited,500510,0.66,2918.5,1965569
6,7,TATAINVEST,Tata Investment Corporation Limited,501301,6.27,2797.1,793510
7,8,LUMAXIND,Lumax Industries Limited,517206,0.76,2408.1,7914
8,9,COLPAL,Colgate Palmolive (india) Limited,500830,0.41,2001.3,318790
9,10,SHRIRAMFIN,Shriram Finance Ltd,511218,-0.49,1890.95,560957
10,11,PGEL,Pg Electroplast Limited,533581,-0.17,1774.55,54280
11,12,NEOGEN,Neogen Chemicals Ltd,542665,0.82,1708.35,36033
12,13,M&M,Mahindra & Mahindra Limited,500520,1.51,1607.15,3827771
13,14,TVSMOTOR,Tvs Motor Company Limited,532343,-0.32,1494.1,1048434
14,15,HAVELLS,Havells India Limited,517354,-1.47,1392.6,350916
15,16,SHAREINDIA,Share India Securities Ltd,540725,1.15,1361.75,64861
16,17,HCLTECH,Hcl Technologies Limited,532281,-0.34,1273.7,1321467
17,18,CHOLAFIN,Cholamandalam Investment And Finance Company Limited,511243,0.0,1188.2,2166139
18,19,PRUDENT,Prudent Corporate Advisory Services Ltd,543527,-0.41,1156.4,9929
19,20,NH,Narayana Hrudayalaya Ltd.,539551,-0.84,1061.45,262744
20,21,HGINFRA,H.G. Infra Engineering Ltd,541019,-0.33,947.5,42229
21,22,MASFIN,MAS Financial Services Ltd,540749,0.04,879.2,58574
22,23,GESHIP,The Great Eastern Shipping Company Limited,500620,2.74,811.15,245831
23,24,INTELLECT,Intellect Design Arena Limited,538835,1.44,719.25,253058
24,25,PNBHOUSING,Pnb Housing Finance Limited,540173,3.73,688.15,422744
25,26,SONACOMS,Sona BLW Precision Forgings Ltd,543300,-1.84,580.05,606387
26,27,SUVENPHAR,Suven Pharmaceuticals Ltd,543064,-1.18,529.85,164729
27,28,HINDALCO,Hindalco Industries Limited,500440,-0.15,478.85,3684720
28,29,TRITURBINE,Triveni Turbine Limited,533655,-1.92,411.05,828353
29,30,PNCINFRA,Pnc Infratech Limited,539150,0.62,370.6,784389
30,31,ASTERDM,Aster DM Healthcare Ltd,540975,1.49,330.7,157827
31,32,CSBBANK,CSB Bank Ltd,542867,2.6,329.5,883734
32,33,KNRCON,Knr Constructions Limited,532942,-0.55,272.65,644920
33,34,TATACOFFEE,Tata Coffee Limited,532301,0.55,257.0,851575
34,35,BANKBARODA,Bank Of Baroda,532134,3.96,215.35,37302904
35,36,DEVYANI,Devyani International Ltd,543330,0.77,208.7,1185396
36,37,PARADEEP,Paradeep Phosphates Ltd,543530,-1.18,71.15,1602279
37,38,NHPC,Nhpc Limited,533098,-0.57,52.05,53675534
